Volatility 3 Framework 2.4.1

Offset	Name	Size

0x85899b64b1e0	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\GraphiteDawnCache\data_1	216
0x85899b64b500	\Windows\System32\en-US\crypt32.dll.mui	216
0x85899b64b690	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\Default\Shared Dictionary\db	216
0x85899b64b820	\Program Files\Intel\SUR\QUEENCREEK\x64	216
0x85899b64bb40	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\GrShaderCache\data_2	216
0x85899b64be60	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\GrShaderCache\data_2	216
0x85899b64c180	\Windows\Microsoft.NET\assembly\GAC_MSIL\Microsoft.CSharp\v4.0_4.0.0.0__b03f5f7f11d50a3a\Microsoft.CSharp.dll	216
0x85899b64c950	\Windows\Registration\R00000000000f.clb	216
0x85899b64cae0	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\Default\Network\Cookies	216
0x85899b64ce00	\Windows\System32\prflbmsg.dll	216
0x85899b64d120	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\GrShaderCache\data_3	216
0x85899b64d2b0	\Windows\System32\winevt\Logs\Microsoft-Windows-Perflib%4Operational.evtx	216
0x85899b64d760	\Connect	216
0x85899b64dc10	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\GraphiteDawnCache\data_0	216
0x85899b64dda0	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\GrShaderCache\data_3	216
0x85899b64e0c0	\Windows\System32\en-US\crypt32.dll.mui	216
0x85899b64e250	\Windows\System32\en-US\mswsock.dll.mui	216
0x85899b64e3e0	\Windows\System32	216
0x85899b64e700	\$Directory	216
0x85899b64eed0	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\Default\Network\Cookies	216
0x85899b64f380	\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_424.1301.270.0_x64__cw5n1h2txyewy\resources.pri	216
0x85899b64f6a0	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\GraphiteDawnCache\index	216
0x85899b64f830	\Windows\System32\svchost.exe	216
0x85899b64f9c0	\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_424.1301.270.0_x64__cw5n1h2txyewy\Dashboard\Microsoft.Windows.Widgets.dll	216
0x85899b64fb50	\CMNotify	216
0x85899b64fce0	\Windows\System32\Geolocation.dll	216
0x85899b650190	\Windows\System32	216
0x85899b650320	\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_424.1301.270.0_x64__cw5n1h2txyewy\Dashboard\WidgetService.exe	216
0x85899b650640	\Windows\System32\en-US\svchost.exe.mui	216
0x85899b650af0	\Windows\System32\en-US\Windows.Web.dll.mui	216
0x85899b650c80	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\GraphiteDawnCache\index	216
0x85899b650e10	\Windows\System32\en-US\KernelBase.dll.mui	216
0x85899b6512c0	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\GraphiteDawnCache\data_0	216
0x85899b651450	\$Directory	216
0x85899b6515e0	\Windows\System32\tzautoupdate.dll	216
0x85899b651770	\CMNotify	216
0x85899b651900	\Windows\System32\LocationWinPalMisc.dll	216
0x85899b651a90	\ProgramData\Microsoft\Windows\LfSvc\Geofence\GeofenceApplicationID.dat	216
0x85899b651db0	\Windows\System32\MdmCommon.dll	216
0x85899b6520d0	\Windows\System32\en-US\windows.storage.dll.mui	216
0x85899b652260	\CMApi	216
0x85899b6523f0	\Windows\System32\en-US\KernelBase.dll.mui	216
0x85899b652710	\Program Files\WindowsApps\Microsoft.WindowsAlarms_1.0.189.0_neutral_split.scale-100_8wekyb3d8bbwe\resources.pri	216
0x85899b6528a0	\Windows\System32\en-US\Geolocation.dll.mui	216
0x85899b652a30	\Windows\System32\en-US\combase.dll.mui	216
0x85899b652bc0	\Windows\System32\LocationFrameworkPS.dll	216
0x85899b652d50	\$Directory	216
0x85899b652ee0	\Windows\System32\lfsvc.dll	216
0x85899b653200	\CMApi	216
0x85899b653390	\Windows\Registration\R00000000000f.clb	216
0x85899b653520	\Program Files\WindowsApps\Microsoft.WindowsAlarms_1.0.189.0_x64__8wekyb3d8bbwe\microsoft.system.package.metadata\S-1-5-21-1575573434-936532698-3882397903-1001-MergedResources-14.pri	216
0x85899b6536b0	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\GraphiteDawnCache\data_1	216
0x85899b653840	\Windows\System32\en-US\iertutil.dll.mui	216
0x85899b6539d0	\Program Files\WindowsApps\Microsoft.Windows.DevHome_0.1101.416.0_x64__8wekyb3d8bbwe\resources.pri	216
0x85899b653cf0	\Users\Ariff\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\Settings\settings.dat	216
0x85899b653e80	\Windows\System32\LocationFramework.dll	216
0x85899b6541a0	\Windows\Registration\R00000000000f.clb	216
0x85899b654330	\Program Files\WindowsApps\Microsoft.WindowsAlarms_1.0.189.0_x64__8wekyb3d8bbwe\resources.pri	216
